iter	Logloss
0	0.63619948
1	0.6107618371
2	0.5844790163
3	0.5743725753
4	0.5668477238
5	0.5609091231
6	0.5582600464
7	0.5531701318
8	0.5489709487
9	0.5451098929
10	0.5405684731
11	0.5380649152
12	0.53492772
13	0.5326145791
14	0.5299854103
15	0.5235969157
16	0.5209206118
17	0.5187107434
18	0.5164772102
19	0.5133402465
20	0.5106112957
21	0.5069069608
22	0.5033054921
23	0.4973906354
24	0.4939302023
25	0.4907031725
26	0.4876332297
27	0.4844484321
28	0.4817652751
29	0.4794396446
30	0.4767940288
31	0.4734454104
32	0.4704528717
33	0.4682647433
34	0.4651667625
35	0.4629907208
36	0.4608481622
37	0.4583510937
38	0.4559530441
39	0.4538438589
40	0.451079519
41	0.4487403661
42	0.446492671
43	0.444824919
44	0.4424001062
45	0.440092041
46	0.437566014
47	0.4356012392
48	0.4333365708
49	0.4311107553
