iter	Passed	Remaining
0	955	46800
1	1698	40772
2	2424	37991
3	3139	36106
4	3908	35180
5	4619	33879
6	5350	32864
7	6102	32038
8	6836	31143
9	7548	30193
10	8284	29373
11	9001	28506
12	9722	27670
13	10453	26880
14	11182	26091
15	11938	25369
16	12682	24618
17	13403	23828
18	14113	23026
19	14829	22244
20	15555	21481
21	16276	20715
22	17106	20081
23	17965	19462
24	18717	18717
25	19432	17937
26	20160	17173
27	20880	16406
28	21615	15652
29	22320	14880
30	23037	14120
31	23766	13368
32	24482	12612
33	25206	11861
34	25933	11114
35	26640	10360
36	27337	9604
37	28030	8851
38	28687	8091
39	29351	7337
40	30078	6602
41	30761	5859
42	31444	5118
43	32102	4377
44	32796	3644
45	33511	2914
46	34202	2183
47	34890	1453
48	35580	726
49	36274	0
